,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,close_cand_30pct,algehad,isapolitician
2897,mr. A.M. de Rouville,,705.0,0.33490000000000003,Delft,17/05/1853,algemeen,2556,2123,2124,4210.0,18,2.0,1053.0,4,0,1148.0,0.5454,-0.21049999999999996,0,0,0,1,nee,nee
2957,W. von Wrangel auf Lindenberg,AR,491.0,0.1932,Delft,08/06/1875,periodiek,2995,2551,2550,2541.0,7,1.0,1271.0,3,0,1116.0,0.43920000000000003,-0.24600000000000002,0,0,0,1,nee,nee
2962,W. von Wrangel auf Lindenberg,AR,397.0,0.1718,Delft,12/06/1877,periodiek,3175,2333,2333,2311.0,21,1.0,1156.0,3,0,964.0,0.4171,-0.24530000000000002,0,0,0,1,nee,nee
3066,F. s' Jacob,,786.0,0.34090000000000004,Rotterdam,22/01/1868,algemeen,2994,2332,2333,6917.0,54,3.0,1153.0,5,0,1293.0,0.5608,-0.21989999999999993,0,0,0,1,nee,nee
3122,J. Voorhoeve H Czn.,,315.0,0.1666,Rotterdam,24/08/1880,tussentijds,3551,1907,1907,1891.0,13,1.0,946.0,3,0,805.0,0.4257,-0.2591,0,0,0,1,nee,nee
3128,J.G. van den Bergh,(DT)*,544.0,0.2807,Rotterdam,14/06/1881,periodiek,3642,1961,1960,1938.0,22,1.0,969.0,4,0,1006.0,0.5191,-0.2384,0,0,0,1,nee,nee
3199,E. van der Oudermeulen,,402.0,0.3547,Den Haag,27/08/1850,algemeen,2025,1346,1346,2267.0,7,2.0,567.0,4,0,698.0,0.6158,-0.2611,0,0,0,1,nee,nee
3277,jhr.mr. J.K.W. Quarles van Ufford,(AH)*,480.0,0.37770000000000004,Den Haag,14/06/1881,periodiek,2463,1287,1287,1271.0,13,1.0,636.0,2,0,774.0,0.609,-0.23129999999999995,0,0,0,1,nee,nee
3352,mr. J.G. Kist,,67.0,0.0701,Dordrecht,27/12/1859,tussentijds,2037,973,973,956.0,4,1.0,478.0,4,0,297.0,0.3107,-0.24059999999999998,0,0,0,1,nee,nee
3418,G.H. Veth,,176.0,0.1675,Dordrecht,22/04/1879,tussentijds,2236,1063,1063,1051.0,9,1.0,526.0,3,0,431.0,0.41009999999999996,-0.24259999999999995,0,0,0,1,nee,nee
3504,mr. I. Capadose,,404.0,0.1771,Gorinchem,30/10/1866,algemeen,3009,2332,2334,4562.0,40,2.0,1141.0,6,0,1057.0,0.46340000000000003,-0.2863,0,0,0,1,nee,nee
3536,mr. J.H. s' Jacob,,432.0,0.2051,Gorinchem,12/06/1877,periodiek,3496,2120,2120,2106.0,12,1.0,1053.0,3,0,1059.0,0.5028,-0.2977,0,0,0,1,nee,nee
3558,C. van Andel,(AH)*,1112.0,0.3503,Gorinchem,15/06/1886,algemeen,4088,3211,3211,6348.0,70,2.0,1587.0,4,0,2034.0,0.6408,-0.29050000000000004,0,0,0,1,nee,nee
3692,mr. C.P. Lenshoek,(AH)*,367.0,0.3268,Goes,13/06/1871,periodiek,1489,1153,1153,1123.0,7,1.0,562.0,2,0,698.0,0.6214999999999999,-0.29469999999999996,0,0,0,1,nee,nee
3759,mr. J.E. van den Broek,,74.0,0.0658,Zierikzee,12/02/1863,tussentijds,1393,1148,1149,1124.0,11,1.0,562.0,6,0,341.0,0.3034,-0.2376,0,0,0,1,nee,nee
3760,mr. D. van Weel,,57.0,0.0507,Zierikzee,12/02/1863,tussentijds,1393,1148,1149,1124.0,11,1.0,562.0,7,0,341.0,0.3034,-0.2527,0,0,0,1,nee,nee
3830,mr. P.J. Verduijn,,227.0,0.1112,Breda,25/02/1862,tussentijds,3638,2065,2065,2042.0,16,1.0,1021.0,5,0,638.0,0.3124,-0.20120000000000002,0,0,0,1,nee,nee
3943,A.A.A. Barning,,119.0,0.1451,Tilburg,08/06/1852,periodiek,2980,831,831,820.0,7,1.0,410.0,3,0,301.0,0.3671,-0.22199999999999998,0,0,0,1,nee,nee
3950,mr. J.J. Loke,,351.0,0.18420000000000003,Tilburg,17/05/1853,algemeen,2978,1927,1927,3811.0,43,2.0,953.0,5,0,880.0,0.4618,-0.27759999999999996,0,0,0,1,nee,nee
3951,mr. J.D.W. Pape,,312.0,0.1637,Tilburg,17/05/1853,algemeen,2978,1927,1927,3811.0,43,2.0,953.0,6,0,880.0,0.4618,-0.2981,0,0,0,1,nee,nee
3985,B.H.M. Hanlo,,745.0,0.33030000000000004,Tilburg,30/10/1866,algemeen,3095,2298,2299,4511.0,77,2.0,1128.0,4,0,1214.0,0.5382,-0.20789999999999997,0,0,0,1,nee,nee
4095,mr. D.H. van den Acker,,407.0,0.3328,Eindhoven,25/09/1877,tussentijds,2624,1224,1225,1223.0,2,1.0,612.0,2,0,722.0,0.5904,-0.25760000000000005,0,0,0,1,nee,nee
4129,mr. L. Wenmaekers,,195.0,0.20809999999999998,Maastricht,03/04/1855,tussentijds,1829,955,955,937.0,13,1.0,469.0,2,0,450.0,0.4803,-0.2722,0,0,0,1,nee,nee
4130,E. Sassen,,195.0,0.20809999999999998,Maastricht,03/04/1855,tussentijds,1829,955,955,937.0,13,1.0,469.0,3,0,450.0,0.4803,-0.2722,0,0,0,1,nee,nee
4134,mr. L. Wenmaekers,,334.0,0.33640000000000003,Maastricht,17/04/1855,herstemming,1829,1008,1009,993.0,15,1.0,497.0,2,0,628.0,0.6324000000000001,-0.29600000000000004,0,0,0,1,nee,nee
4137,jhr.mr. E. Kerens van Wolfrath,,470.0,0.3875,Maastricht,17/07/1856,tussentijds,1945,1233,1233,1213.0,19,1.0,607.0,2,0,731.0,0.6026,-0.2151,0,0,0,1,nee,nee
4193,K.H.L. Bontamps,,261.0,0.243,Roermond,27/08/1850,algemeen,1388,1130,1130,2148.0,106,2.0,537.0,4,0,537.0,0.5,-0.257,0,0,0,1,nee,nee
4255,jhr.mr. L.F.H. Michiels van Kessenich,,367.0,0.214,Roermond,10/06/1873,periodiek,1978,1742,1744,1715.0,28,1.0,858.0,3,0,864.0,0.5038,-0.28980000000000006,0,0,0,1,nee,nee
4323,mr. C.J. van Heusden,,135.0,0.071,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,6,0,605.0,0.3181,-0.2471,0,0,0,1,nee,nee
4324,L.H. Rouppe van der Voort,,126.0,0.0662,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,7,0,605.0,0.3181,-0.2519,0,0,0,1,nee,nee
4325,mr. A.A. Heeren,,118.0,0.062,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,8,0,605.0,0.3181,-0.2561,0,0,0,1,nee,nee
4326,mr. W.C. van Heurn,,109.0,0.057300000000000004,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,9,0,605.0,0.3181,-0.2608,0,0,0,1,nee,nee
4327,mr. N.F.C.J. Sassen,,59.0,0.031,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,10,0,605.0,0.3181,-0.2871,0,0,0,1,nee,nee
4328,mr. J.D.W. Pape,,55.0,0.028900000000000002,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,11,0,605.0,0.3181,-0.2892,0,0,0,1,nee,nee
4329,L.D. van Heyst,,53.0,0.0279,Den Bosch,27/08/1850,algemeen,2817,1948,1949,3804.0,70,2.0,951.0,12,0,605.0,0.3181,-0.2902,0,0,0,1,nee,nee
4354,mr. H. Sassen,,570.0,0.33390000000000003,Den Bosch,11/10/1859,tussentijds,2720,1716,1718,1707.0,10,1.0,854.0,2,0,993.0,0.5817,-0.24779999999999996,0,0,0,1,nee,nee
4407,J.A. Nieuwenhuis,Rad,935.0,0.1858,Groningen,06/03/1888,algemeen,6360,5098,5098,10062.0,110,2.0,2516.0,5,0,2372.0,0.4715,-0.28569999999999995,0,0,0,1,nee,nee
4430,dr. J.H. Smit,Rad,341.0,0.122,Zuidhorn,06/03/1888,algemeen,3342,2801,2800,2795.0,2,1.0,1398.0,3,0,1171.0,0.419,-0.297,0,0,0,1,nee,nee
4501,D. de Clercq,V,620.0,0.253,Leeuwarden,09/06/1891,algemeen,3303,2459,2459,2451.0,5,1.0,1226.0,2,0,1350.0,0.5508,-0.29779999999999995,0,0,0,1,nee,nee
4554,J.C. van den Berg,Lib,294.0,0.13140000000000002,Schoterland,09/06/1891,algemeen,2861,2261,2261,2238.0,18,1.0,1119.0,4,0,748.0,0.3342,-0.20279999999999998,0,0,0,1,nee,nee
4736,mr. D.R.B. baron van Lynden,AR(Ka),727.0,0.3527,Arnhem,09/06/1891,algemeen,2792,2077,2077,2061.0,13,1.0,1031.0,2,0,1143.0,0.5546,-0.20189999999999997,0,0,0,1,nee,nee
4816,C.J. van Eeghen,Lib(VT),331.0,0.1736,Ede,10/04/1894,algemeen,2923,1928,1928,1907.0,15,1.0,954.0,3,0,725.0,0.38020000000000004,-0.20660000000000003,0,0,0,1,nee,nee
4823,mr. H.J.H. baron van Boetzelaer van Oosterhout,Lib,890.0,0.3812,Amersfoort,27/03/1888,tussentijds,2945,2342,2342,2335.0,5,1.0,1168.0,2,0,1443.0,0.618,-0.2368,0,0,0,1,nee,nee
4835,J.D. van de Velde,Lib,799.0,0.3231,Apeldoorn,06/03/1888,algemeen,2920,2482,2484,2473.0,5,1.0,1237.0,2,0,1525.0,0.6167,-0.2936,0,0,0,1,nee,nee
4841,M.J. Chevallier,AR(VT),352.0,0.1816,Apeldoorn,10/04/1894,algemeen,2958,1949,1951,1938.0,10,1.0,969.0,3,0,900.0,0.4644,-0.28279999999999994,0,0,0,1,nee,nee
4878,M. van Waart,AR(VT),728.0,0.24760000000000001,Breukelen,10/04/1894,algemeen,3766,2979,2979,2940.0,37,1.0,1470.0,3,0,1345.0,0.4575,-0.2099,0,0,0,1,nee,nee
4961,P.C.F. Frowein,,158.0,0.08109999999999999,Den Helder,30/10/1894,tussentijds,3711,1958,1957,1948.0,6,1.0,974.0,6,0,558.0,0.2864,-0.20529999999999998,0,0,0,1,nee,nee
4962,J.G. van den Bosch,,91.0,0.0467,Den Helder,30/10/1894,tussentijds,3711,1958,1957,1948.0,6,1.0,974.0,7,0,558.0,0.2864,-0.2397,0,0,0,1,nee,nee
4963,J. Korver,,75.0,0.0385,Den Helder,30/10/1894,tussentijds,3711,1958,1957,1948.0,6,1.0,974.0,8,0,558.0,0.2864,-0.24789999999999998,0,0,0,1,nee,nee
4990,J.C. van Schermbeek,Lib,951.0,0.0611,Amsterdam,06/03/1888,algemeen,20887,16015,16015,140176.0,3779,9.0,7788.0,24,0,5415.0,0.3477,-0.2866,0,0,0,1,nee,nee
4991,dr. J.M. Smit,Rad,836.0,0.0537,Amsterdam,06/03/1888,algemeen,20887,16015,16015,140176.0,3779,9.0,7788.0,25,0,5415.0,0.3477,-0.29400000000000004,0,0,0,1,nee,nee
5044,mr. E.P.F.A. van den Bogaert,Ka(TT),1393.0,0.15289999999999998,Amsterdam,10/04/1894,algemeen,23112,9391,9390,82016.0,2251,9.0,4556.0,22,0,3456.0,0.37920000000000004,-0.22630000000000006,0,0,0,1,nee,nee
5045,mr. H.L. Lindaal Jacobs,Ka(TT),1301.0,0.14279999999999998,Amsterdam,10/04/1894,algemeen,23112,9391,9390,82016.0,2251,9.0,4556.0,23,0,3456.0,0.37920000000000004,-0.23640000000000005,0,0,0,1,nee,nee
5080,mr. P.N. Engelberts,C,62.0,0.0208,Beverwijk,09/06/1891,algemeen,3640,2997,2996,2984.0,3,1.0,1492.0,6,0,778.0,0.2607,-0.2399,0,0,0,1,nee,nee
5200,A.N. de Lint,Lib(VT),488.0,0.2318,Delft,10/04/1894,algemeen,3269,2155,2155,2105.0,38,1.0,1053.0,3,0,929.0,0.4413,-0.20950000000000002,0,0,0,1,nee,nee
5204,mr. W.M.H. Boers,Lib(VT),657.0,0.3323,Delft,18/05/1894,tussentijds,3265,2017,2017,1977.0,36,1.0,989.0,2,0,1120.0,0.5665,-0.23420000000000002,0,0,0,1,nee,nee
5233,mr. P.N. Engelberts,C(Ka),475.0,0.2082,Schiedam,09/06/1891,algemeen,2783,2320,2320,2282.0,33,1.0,1141.0,3,0,1003.0,0.4395,-0.2313,0,0,0,1,nee,nee
5246,J.M. Voorhoeve,AR(Ka),1671.0,0.3197,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133.0,3527,5.0,2613.0,6,0,3057.0,0.5849,-0.2652,0,0,0,1,nee,nee
5247,mr. J.C.M.F.H. Maschek,Ka(AR),1648.0,0.3153,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133.0,3527,5.0,2613.0,7,0,3057.0,0.5849,-0.26959999999999995,0,0,0,1,nee,nee
5355,mr. F.N. Sickenga,Lib(VT),529.0,0.23199999999999998,Dordrecht,10/04/1894,algemeen,2931,2309,2309,2280.0,29,1.0,1140.0,3,0,1136.0,0.4982,-0.2662,0,0,0,1,nee,nee
5415,D. Stigter,,944.0,0.3611,Goes,09/01/1894,tussentijds,4073,2659,2659,2614.0,36,1.0,1307.0,2,0,1653.0,0.6324000000000001,-0.2713000000000001,0,0,0,1,nee,nee
5417,D. Stigter,Lib(VT),699.0,0.2852,Goes,10/04/1894,algemeen,4050,2486,2486,2451.0,33,1.0,1226.0,2,0,1224.0,0.49939999999999996,-0.21419999999999995,0,0,0,1,nee,nee
5420,D. Stigter,Lib(VT),1065.0,0.3635,Goes,24/04/1894,herstemming,4050,2972,2972,2930.0,31,1.0,1465.0,2,0,1866.0,0.6369,-0.27340000000000003,0,0,0,1,nee,nee
5435,C.J. Huvers,,609.0,0.2469,Hontenisse,10/04/1894,algemeen,3374,2492,2493,2467.0,19,1.0,1234.0,3,0,1196.0,0.48479999999999995,-0.23789999999999994,0,0,0,1,nee,nee
5537,G. Berkers,Lib,466.0,0.2802,Sittard,06/03/1888,algemeen,1821,1679,1679,1663.0,15,1.0,832.0,2,0,876.0,0.5268,-0.24660000000000004,0,0,0,1,nee,nee
5611,J. Bosch,AR,230.0,0.08259999999999999,Amsterdam I,15/06/1897,algemeen,4760,-,2840,2783.0,57,1.0,1392.0,4,0,832.0,0.299,-0.21639999999999998,0,0,0,1,nee,nee
5612,A.L. van Hasselt,CHK,228.0,0.0819,Amsterdam I,15/06/1897,algemeen,4760,-,2840,2783.0,57,1.0,1392.0,5,0,832.0,0.299,-0.2171,0,0,0,1,nee,nee
5613,C.H. Kouw,Lib,220.0,0.0791,Amsterdam I,15/06/1897,algemeen,4760,-,2840,2783.0,57,1.0,1392.0,6,0,832.0,0.299,-0.21989999999999998,0,0,0,1,nee,nee
5628,F. van der Goes,SDAP,270.0,0.0966,Amsterdam III,15/06/1897,algemeen,4566,-,2832,2794.0,38,1.0,1397.0,4,0,1015.0,0.36329999999999996,-0.26669999999999994,0,0,0,1,nee,nee
5649,H.P.C.W.H.J.B. van Son,CHK,322.0,0.0916,Amsterdam V,15/06/1897,algemeen,5945,-,3553,3514.0,39,1.0,1757.0,5,0,1128.0,0.321,-0.2294,0,0,0,1,nee,nee
5654,dr. P.J.H. Cuypers,Ka,789.0,0.2515,Amsterdam VI,15/06/1897,algemeen,5040,-,3137,3137.0,0,1.0,1569.0,2,0,1484.0,0.4731,-0.22160000000000002,0,0,0,1,nee,nee
5669,H.P.C.W.H.J.B. van Son,CHK,283.0,0.1173,Amsterdam VII,15/06/1897,algemeen,3667,-,2481,2412.0,69,1.0,1206.0,4,0,901.0,0.3735,-0.2562,0,0,0,1,nee,nee
5695,J. Schoonbeek,SDAP,860.0,0.154,Appingedam,15/06/1897,algemeen,6976,-,5690,5583.0,107,1.0,2792.0,3,0,2128.0,0.3812,-0.22719999999999999,0,0,0,1,nee,nee
5696,J. Doornbosch,Lib + protectionist,621.0,0.1112,Appingedam,15/06/1897,algemeen,6976,-,5690,5583.0,107,1.0,2792.0,4,0,2128.0,0.3812,-0.27,0,0,0,1,nee,nee
5741,J.W. Koer,AR,458.0,0.0771,Deventer,15/06/1897,algemeen,6697,-,5990,5941.0,49,1.0,2971.0,4,0,2216.0,0.373,-0.2959,0,0,0,1,nee,nee
5789,mr. D.H. van den Acker,,1149.0,0.3998,Eindhoven,16/11/1898,tussentijds,5728,-,2928,2874.0,54,1.0,1437.0,2,0,1725.0,0.6002000000000001,-0.20040000000000008,0,0,0,1,nee,nee
5890,mr. G.C. Everwijn Lange,Lib,1532.0,0.2241,Haarlemmermeer,15/06/1897,algemeen,7971,-,6974,6836.0,138,1.0,3418.0,3,0,2940.0,0.4301,-0.206,0,0,0,1,nee,nee
5911,J. Baron,Lib,1420.0,0.2379,Hilversum,15/06/1897,algemeen,7597,-,6162,5968.0,194,1.0,2984.0,3,0,3003.0,0.5032,-0.2653,0,0,0,1,nee,nee
5928,B. Cuperus,Lib,1246.0,0.2895,Kampen,15/06/1897,algemeen,5778,-,4366,4304.0,62,1.0,2152.0,2,0,2294.0,0.5329999999999999,-0.24349999999999994,0,0,0,1,nee,nee
5932,jhr. M. van den Brandeler,CHK,933.0,0.17800000000000002,Katwijk,15/06/1897,algemeen,5728,-,5279,5242.0,37,1.0,2621.0,3,0,2297.0,0.4382,-0.2602,0,0,0,1,nee,nee
5952,G.J. ten Cate,AR(Ka),2441.0,0.3736,Lochem,15/06/1897,algemeen,7408,-,6533,6533.0,0,1.0,3267.0,2,0,3886.0,0.5948,-0.2212,0,0,0,1,nee,nee
5959,G. van Herwaarden,CHK,808.0,0.1362,Loosduinen,15/06/1897,algemeen,6762,-,6012,5932.0,80,1.0,2966.0,4,0,2260.0,0.381,-0.24480000000000002,0,0,0,1,nee,nee
6002,T. Tromp,AR(VA),516.0,0.1957,Rotterdam I,15/06/1897,algemeen,3208,-,2673,2637.0,36,1.0,1319.0,3,0,1066.0,0.4042,-0.2085,0,0,0,1,nee,nee
6062,mr. J.G. van der Hoop,CHK(VA),741.0,0.1822,Steenwijk,15/06/1897,algemeen,5863,-,4116,4068.0,48,1.0,2034.0,3,0,1575.0,0.3872,-0.205,0,0,0,1,nee,nee
6137,R. Boonstra,Lib,971.0,0.21239999999999998,Zuidhorn,15/06/1897,algemeen,6300,-,4688,4571.0,117,1.0,2286.0,3,0,2019.0,0.44170000000000004,-0.22930000000000006,0,0,0,1,nee,nee
6149,mr. C. baron van Vos van Steenwijk,VL,814.0,0.17329999999999998,Zwolle,15/06/1897,algemeen,6087,-,4772,4698.0,74,1.0,2349.0,3,0,2095.0,0.4459,-0.27260000000000006,0,0,0,1,nee,nee
