,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,close_cand_30pct,algehad,isapolitician
7410,N.J. Bosch,Lib(VL),2595.0,0.38170000000000004,Kampen,11/06/1909,algemeen,7655,-,6870,6798.0,72,1.0,3399.0,2,0,4027.0,0.5924,-0.2107,0,0,0,1,nee,nee
7441,H.J. Kenter,,1019.0,0.2412,Winschoten,11/06/1909,algemeen,7175,-,4301,4225.0,76,1.0,2113.0,3,0,2032.0,0.48090000000000005,-0.23970000000000005,0,0,0,1,nee,nee
7450,jhr. L.A.S.J. de Milly van Heiden Reinestein,VL,1007.0,0.2299,Assen,11/06/1909,algemeen,7772,-,4427,4381.0,46,1.0,2191.0,2,0,1892.0,0.43189999999999995,-0.20199999999999996,0,0,0,1,nee,nee
7451,H. Bos Kz.,AR(Ka/CHU),957.0,0.2184,Assen,11/06/1909,algemeen,7772,-,4427,4381.0,46,1.0,2191.0,3,0,1892.0,0.43189999999999995,-0.21349999999999994,0,0,0,1,nee,nee
7477,F.L.S.F. baron van Tuyl van Serooskerken van Zuylen,Lib,1070.0,0.1668,Breukelen,22/09/1909,tussentijds,7764,-,6474,6416.0,58,1.0,3208.0,3,0,2621.0,0.40850000000000003,-0.24170000000000003,0,0,0,1,nee,nee
7507,H.T. s' Jacob,,1736.0,0.20920000000000002,Hilversum,01/02/1912,tussentijds,13644,-,8434,8299.0,135,1.0,4150.0,3,0,3584.0,0.43189999999999995,-0.22269999999999993,0,0,0,1,nee,nee
7527,W. Fransen Jzn.,Ka(AR/CHU),1685.0,0.2094,Leeuwarden,17/06/1913,algemeen,9228,-,8091,8045.0,46,1.0,4023.0,3,0,3738.0,0.4646,-0.2552,0,0,0,1,nee,nee
7635,E. Deen,VD,1933.0,0.1814,Den Haag I,17/06/1913,algemeen,13029,-,10834,10658.0,176,1.0,5329.0,3,0,4836.0,0.4537,-0.2723,0,0,0,1,nee,nee
7749,mr. T.B. Pleijte,VD,3655.0,0.2086,Amsterdam IX,17/06/1913,algemeen,22557,-,18276,17525.0,751,1.0,8763.0,3,0,8204.0,0.4681,-0.2595,0,0,0,1,nee,nee
7770,J. Korthals Altes,Lib,3927.0,0.3237,Haarlemmermeer,17/06/1913,algemeen,13290,-,12213,12131.0,82,1.0,6066.0,2,0,6926.0,0.5709000000000001,-0.2472000000000001,0,0,0,1,nee,nee
7776,C.J. van der Hegge Spies,AR(Ka/CHU),1161.0,0.15839999999999999,Den Helder,17/06/1913,algemeen,9031,-,7399,7330.0,69,1.0,3665.0,4,0,2778.0,0.379,-0.22060000000000002,0,0,0,1,nee,nee
7798,J. Welleman,VD,2289.0,0.3099,Hontenisse,17/06/1913,algemeen,8545,-,7683,7387.0,296,1.0,3694.0,2,0,3794.0,0.5136,-0.20369999999999994,0,0,0,1,nee,nee
7821,A. van der Heide,SDAP,1548.0,0.17579999999999998,Utrecht I,17/06/1913,algemeen,9767,-,8921,8805.0,116,1.0,4403.0,3,0,3688.0,0.4189,-0.2431,0,0,0,1,nee,nee
7839,W.J.C. van Santen,Lib,1509.0,0.2075,Franeker,17/06/1913,algemeen,8523,-,7332,7274.0,58,1.0,3637.0,3,0,2971.0,0.40840000000000004,-0.20090000000000005,0,0,0,1,nee,nee
7843,J.H. Anema,SDAP,1730.0,0.2429,Harlingen,17/06/1913,algemeen,7991,-,7192,7121.0,71,1.0,3561.0,2,0,3697.0,0.5192,-0.2763,0,0,0,1,nee,nee
7844,mr.dr. A.D.H. Fockema Andreae,VL,1694.0,0.2379,Harlingen,17/06/1913,algemeen,7991,-,7192,7121.0,71,1.0,3561.0,3,0,3697.0,0.5192,-0.2813,0,0,0,1,nee,nee
7858,J.H. Faber,Lib,2238.0,0.28059999999999996,Tietjerksteradeel,17/06/1913,algemeen,8967,-,8058,7975.0,83,1.0,3988.0,2,0,4137.0,0.5186999999999999,-0.23809999999999998,0,0,0,1,nee,nee
7903,mr. E.J. Thomassen Ã Thuessink van der Hoop van Slochteren,CHU,691.0,0.087,Appingedam,17/06/1913,algemeen,9238,-,8055,7946.0,109,1.0,3973.0,4,0,2747.0,0.3457,-0.25870000000000004,0,0,0,1,nee,nee
7933,A. van der Heide,SDAP,1672.0,0.2873,Assen,17/06/1913,algemeen,8912,-,5930,5819.0,111,1.0,2910.0,2,0,3097.0,0.5322,-0.2449,0,0,0,1,nee,nee
7951,J.T. Verheggen,Ka,2476.0,0.3956,Roermond,17/06/1913,algemeen,7541,-,6345,6259.0,86,1.0,3130.0,2,0,3783.0,0.6043999999999999,-0.20879999999999993,0,0,0,1,nee,nee
7955,A.H. Gijzels,Ka,2559.0,0.3601,Sittard,17/06/1913,algemeen,8961,-,7235,7107.0,128,1.0,3554.0,2,0,4548.0,0.6399,-0.27980000000000005,0,0,0,1,nee,nee
7990,C.J. Kuiper,,1946.0,0.1937,Amsterdam III,04/11/1913,tussentijds,16516,-,10196,10044.0,152,1.0,5022.0,3,0,4604.0,0.45840000000000003,-0.26470000000000005,0,0,0,1,nee,nee
8016,A.P.H.K.J. Kellenaers,,719.0,0.15,Weert,27/04/1916,tussentijds,8267,-,4917,4793.0,124,1.0,2397.0,4,0,1850.0,0.386,-0.23600000000000002,0,0,0,1,nee,nee
8023,jhr. J. Beelaerts van Blokland,,1604.0,0.2903,Tiel,08/12/1916,tussentijds,7454,-,5606,5525.0,81,1.0,2763.0,2,0,2800.0,0.5068,-0.21650000000000003,0,0,0,1,nee,nee
8034,S.W. de Clercq,,3993.0,0.38049999999999995,Haarlemmermeer,02/12/1916,tussentijds,14679,-,10595,10493.0,102,1.0,5247.0,2,0,6500.0,0.6195,-0.2390000000000001,0,0,0,1,nee,nee
8129,dr. J. Schrijver,AG,2448.0,0.3444,Amsterdam V,15/06/1917,algemeen,20627,-,7278,7108.0,170,1.0,3554.0,2,0,4077.0,0.5736,-0.22920000000000001,0,0,0,1,nee,nee
8136,dr. F. van Eeden,AS,828.0,0.3292,Amsterdam VIII,15/06/1917,algemeen,7444,-,2638,2515.0,123,1.0,1258.0,2,0,1526.0,0.6068,-0.2776,0,0,0,1,nee,nee
