,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1557,J. Windhouwer,AR(Ka/CHP),1901.0,0.2754,Zaandam,16/06/1905,algemeen,8980,-,6993,6902.0,91,1.0,3451.0,3,0,2609.0,0.37799999999999995,-0.10259999999999997,0,0,1,K. de Boer,Lib(VL),2609.0,0.37799999999999995,nee
1559,H. Snijders,VD,3542.0,0.4296,Middelburg,16/06/1905,algemeen,9151,-,8335,8245.0,90,1.0,4123.0,2,0,4180.0,0.507,-0.07740000000000002,0,1,1,mr. C. Lucasse,AR(Ka/CHP),4180.0,0.507,nee
1568,T.A. Hettinga,Ka(AR/CHP),1439.0,0.2291,Leeuwarden,16/06/1905,algemeen,7553,-,6352,6280.0,72,1.0,3140.0,3,0,2270.0,0.3615,-0.1324,0,0,1,F.M. Wibaut,SDAP,2270.0,0.3615,nee
1574,dr. C.J. Niemeijer,Lib,2020.0,0.33520000000000005,Sneek,16/06/1905,algemeen,7183,-,6097,6026.0,71,1.0,3013.0,2,0,2837.0,0.4708,-0.13559999999999994,0,0,1,mr. H. Okma,AR(Ka/CHP),2837.0,0.4708,nee
1575,dr. C.J. Niemeijer,Lib(VL/VD),2774.0,0.433,Sneek,28/06/1905,herstemming,7183,-,6454,6407.0,47,1.0,3204.0,2,0,3633.0,0.5670000000000001,-0.13400000000000006,0,0,1,mr. H. Okma,AR(Ka/CHP/FCH),3633.0,0.5670000000000001,nee
1576,J. Huizinga,AR(Ka/CHP),1342.0,0.2821,Schoterland,16/06/1905,algemeen,6365,-,4817,4757.0,60,1.0,2379.0,2,0,2085.0,0.43829999999999997,-0.15619999999999995,0,0,1,G.L. van der Zwaag,SDAP,2085.0,0.43829999999999997,nee
1579,C.A. Zelvelder,VD,1246.0,0.2278,Weststellingwerf,16/06/1905,algemeen,6653,-,5503,5470.0,33,1.0,2735.0,3,0,2217.0,0.4053,-0.1775,0,0,1,F.W.N. Hugenholtz,SDAP,2217.0,0.4053,nee
1584,dr. W.J.M. Engelberts,VL,3078.0,0.4282,Ommen,16/06/1905,algemeen,8078,-,7291,7189.0,102,1.0,3595.0,2,0,4114.0,0.5722999999999999,-0.1440999999999999,0,0,1,J. van Alphen,AR(Ka/CHP),4114.0,0.5722999999999999,nee
1585,J.H. Tromp Meesters,Lib(VL),3202.0,0.49770000000000003,Steenwijk,16/06/1905,algemeen,7007,-,6500,6433.0,67,1.0,3217.0,2,0,3231.0,0.5023,-0.0045999999999999375,1,1,1,L.F. Duymaer van Twist,AR(Ka/CHP),3231.0,0.5023,nee
1591,H. de Wilde,AR(Ka/CHP),1612.0,0.2943,Hoogezand,16/06/1905,algemeen,6396,-,5534,5478.0,56,1.0,2739.0,2,0,2320.0,0.4235,-0.12919999999999998,0,0,1,K. ter Laan,SDAP,2320.0,0.4235,nee
