,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1837,J. Esmeijer,,4005.0,0.389,Apeldoorn,29/02/1916,tussentijds,12078,-,10413,10296.0,117,1.0,5148.0,2,0,5737.0,0.5572,-0.16820000000000002,0,0,1,J.R. Snoeck Henkemans,,5737.0,0.5572,nee
1839,K. Stenhuis,,2776.0,0.4506,Winschoten,17/06/1916,tussentijds,8858,-,6204,6160.0,44,1.0,3080.0,2,0,3384.0,0.5494,-0.0988,0,1,1,jhr.mr.dr. E.A. van Beresteijn,,3384.0,0.5494,nee
1841,G.J.H. Peters,,979.0,0.2043,Weert,27/04/1916,tussentijds,8267,-,4917,4793.0,124,1.0,2397.0,3,0,1850.0,0.386,-0.1817,0,0,1,mr. W.F.W. Kolkman,,1850.0,0.386,nee
1843,J. Loopuit,,924.0,0.3947,Amsterdam IV,03/04/1917,tussentijds,4813,-,2496,2341.0,155,1.0,1171.0,2,0,1343.0,0.5737,-0.179,0,0,1,mr. J.A. van Hamel,,1343.0,0.5737,nee
1844,C. Thomassen,,2128.0,0.3333,Den Helder,15/05/1917,tussentijds,9953,-,6472,6385.0,87,1.0,3193.0,2,0,2264.0,0.3546,-0.02130000000000004,1,1,1,mr. P.J. Oud,,2264.0,0.3546,nee
1846,C. Thomassen,,2748.0,0.45130000000000003,Den Helder,22/05/1917,herstemming,9953,-,6227,6089.0,138,1.0,3045.0,2,0,3341.0,0.5487,-0.09739999999999993,0,1,1,mr. P.J. Oud,,3341.0,0.5487,nee
1847,dr. Z. Kamerling,,639.0,0.3542,Amsterdam II,15/06/1917,algemeen,5731,-,1957,1804.0,153,1.0,902.0,2,0,885.0,0.49060000000000004,-0.13640000000000002,0,0,1,A.H. Gerhard,SDAP,885.0,0.49060000000000004,nee
1848,dr. Z. Kamerling,AG,898.0,0.41,Amsterdam II,22/06/1917,herstemming,5731,-,2253,2190.0,63,1.0,1095.0,2,0,1292.0,0.59,-0.18,0,0,1,A.H. Gerhard,SDAP,1292.0,0.59,nee
1850,J. Schouten,,3441.0,0.3718,Rotterdam II,14/12/1917,tussentijds,17453,-,9375,9254.0,121,1.0,4627.0,2,0,3628.0,0.392,-0.020199999999999996,1,1,1,A.B. de Zeeuw,,3628.0,0.392,nee
1852,J. Schouten,,4669.0,0.49079999999999996,Rotterdam II,21/12/1917,herstemming,17453,-,9591,9513.0,78,1.0,4757.0,2,0,4844.0,0.5092,-0.018400000000000027,1,1,1,A.B. de Zeeuw,,4844.0,0.5092,nee
1854,H.J. Versteeg,,3211.0,0.4669,Schiedam,22/10/1907,herstemming,8083,-,6916,6878.0,38,1.0,3439.0,2,0,3667.0,0.5331,-0.06620000000000004,0,1,1,jhr.mr. D.J. de Geer,,3667.0,0.5331,nee
