Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
J.G. Nederhoed,Winschoten,01/09/1887,,,,,,,,,,
mr. J.H. Smidt,Winschoten,01/09/1887,,,,,,,,,,
mr. L.N. graaf van Randwijck,Assen,27/08/1850,,,,,,,,,,
mr. P. van der Veen,Assen,12/06/1866,,,,,,,,,,
mr. L. Oldenhuis Gratama,Assen,26/06/1866,,,,,,,,,,
mr. J.W.J. baron van Vos van Steenwijk,Assen,27/11/1877,,,,,,,,,,
mr. J.W.J. baron van Vos van Steenwijk,Assen,12/12/1877,,,,,,,,,,
mr. H. Smeenge,Assen,16/03/1886,,,,,,,,,,
jhr.mr. M.A. de Savornin Lohman,Assen,16/03/1886,,,,,,,,,,
mr. A.F. Jongstra,Leeuwarden,27/08/1850,,,,,,,,,,
mr. S. baron van Heemstra,Leeuwarden,27/08/1850,,,,,,,,,,
mr. S.A. Verweij,Leeuwarden,15/04/1852,,,,,,,,,,
mr. S.A. Verweij,Leeuwarden,29/04/1852,,,,,,,,,,
mr. J.B. Oosting,Leeuwarden,08/06/1852,,,,,,,,,,
mr. J.B. Oosting,Leeuwarden,22/06/1852,,,,,,,,,,
mr. J.P.P. baron van Zuylen van Nijevelt,Leeuwarden,13/06/1854,,,,,,,,,,
mr. S.A. Verweij,Leeuwarden,10/06/1856,,,,,,,,,,
mr. J.B. Oosting,Leeuwarden,11/05/1858,,,,,,,,,,
jhr. W.H. Lycklama Ã Nijeholt,Leeuwarden,08/06/1858,,,,,,,,,,
J. Andreae,Leeuwarden,08/06/1858,,,,,,,,,,
J. Hessels Tacoma,Leeuwarden,12/06/1860,,,,,,,,,,
J. Hessels Tacoma,Leeuwarden,30/10/1860,,,,,,,,,,
mr. B. Brouwer,Leeuwarden,14/06/1864,,,,,,,,,,
mr. B.J.L. baron van Geer van Jutphaas,Leeuwarden,14/06/1864,,,,,,,,,,
mr. B. Brouwer,Leeuwarden,28/06/1864,,,,,,,,,,
J. Andreae,Leeuwarden,15/11/1865,,,,,,,,,,
mr. B.J.L. baron van Geer van Jutphaas,Leeuwarden,15/11/1865,,,,,,,,,,
mr. B. Brouwer,Leeuwarden,15/11/1865,,,,,,,,,,
A. van Assen,Leeuwarden,12/06/1866,,,,,,,,,,
K. Eland,Leeuwarden,28/01/1879,,,,,,,,,,
mr. B. Rinia van Nauta,Sneek,13/06/1854,,,,,,,,,,
mr. S. Wybenga,Sneek,31/05/1855,,,,,,,,,,
mr. G. Groen van Prinsterer,Sneek,31/05/1855,,,,,,,,,,
mr. S.A. Verweij,Sneek,14/06/1855,,,,,,,,,,
M. Kingma Hzn.,Sneek,04/12/1855,,,,,,,,,,
mr. J.J.L. van der Brugghen,Sneek,04/12/1855,,,,,,,,,,
M. Kingma Hzn.,Sneek,18/12/1855,,,,,,,,,,
dr. W.H. Idzerda,Sneek,10/06/1856,,,,,,,,,,
mr. J.J.L. van der Brugghen,Sneek,10/06/1856,,,,,,,,,,
dr. W.H. Idzerda,Sneek,24/06/1856,,,,,,,,,,
mr. A.F. Jongstra,Sneek,08/06/1858,,,,,,,,,,
L. Britzel,Sneek,12/06/1860,,,,,,,,,,
mr. A.F. Jongstra,Sneek,24/06/1862,,,,,,,,,,
jhr.mr. O.Q.J.J. van Swinderen,Sneek,14/06/1864,,,,,,,,,,
M.W. baron van Tour van Bellinchave,Sneek,30/10/1866,,,,,,,,,,
M.W. baron van Tour van Bellinchave,Sneek,22/01/1868,,,,,,,,,,
mr. L.W.C. Keuchenius,Sneek,10/06/1873,,,,,,,,,,
J. Wolbers,Sneek,10/06/1873,,,,,,,,,,
J. Binkes,Sneek,08/06/1875,,,,,,,,,,
W.M. Oppedijk,Sneek,10/06/1879,,,,,,,,,,
W.M. Oppedijk,Sneek,23/11/1880,,,,,,,,,,
W.M. Oppedijk,Sneek,14/06/1881,,,,,,,,,,
mr. W. baron van Heemstra,Sneek,14/06/1881,,,,,,,,,,
W.M. Oppedijk,Sneek,03/01/1882,,,,,,,,,,
W.M. Oppedijk,Sneek,12/06/1883,,,,,,,,,,
W.M. Oppedijk,Sneek,28/10/1884,,,,,,,,,,
mr. U.H. Huber,Sneek,28/10/1884,,,,,,,,,,
jhr. A. Lycklama Ã Nijeholt,Sneek,28/10/1884,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Sneek,17/11/1885,,,,,,,,,,
R.K. Okma,Sneek,15/06/1886,,,,,,,,,,
mr. U.H. Huber,Sneek,15/06/1886,,,,,,,,,,
mr. S. baron van Heemstra 2,Sneek,15/06/1886,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Sneek,05/10/1886,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Sneek,19/10/1886,,,,,,,,,,
mr. P.J.G. van Diggelen,Sneek,01/09/1887,,,,,,,,,,
W.M. Oppedijk,Sneek,01/09/1887,,,,,,,,,,
