,Naam_x,District,Verkiezingdatum,Vermogen,Naam_y,matched b1-nummer,indexnummer,nw0,Vermogen1,nw01
54,mr. J.H.A.M. Essink,Ommen,09/06/1891,483898.69,E. van Weede van Dijkveld,01400,01400,498884.04,13.089630845606843,13.120128962958592
55,mr. J.H.A.M. Essink,Enschede,09/06/1891,483898.69,W.J. Geertsema,00438,,,13.089630845606843,
56,mr. J.H.A.M. Essink,Enschede,23/06/1891,483898.69,W.J. Geertsema,00438,,,13.089630845606843,
57,W. Bos,Enkhuizen,06/03/1888,24601.03,D. Visser van Hazerswoude,01444,,,10.110543590962633,
58,W. Bos,Enkhuizen,28/10/1890,24601.03,J. Zijp,01613,01613,54541.84,10.110543590962633,10.906723392537513
59,W. Bos,Beverwijk,09/06/1891,24601.03,J.W.G. Boreel van Hogelanden,00164,,,10.110543590962633,
60,W. Bos,Beverwijk,23/06/1891,24601.03,J.W.G. Boreel van Hogelanden,00164,,,10.110543590962633,
61,dr. T.C.L. Wijnmalen,Haarlemmermeer,09/06/1891,2029.28,F.J.M.A. Reekers,01091,01091,234556.0,7.615436329319119,12.365449644329013
62,J.G. van Schaardenburg,Dordrecht,26/03/1889,203448.98,S.M.H. van Gijn,00500,00500,1548611.47,12.223170539900433,14.252869261597244
63,F.G. Mellink Pzn.,Amsterdam II,15/06/1897,448.58,H.F. Groen van Waarder,00486,00486,712206.54,6.10608703794468,13.47612323259747
64,F.G. Mellink Pzn.,Amsterdam II,25/06/1897,448.58,H.F. Groen van Waarder,00486,00486,712206.54,6.10608703794468,13.47612323259747
65,J. Hoven,Zwolle,25/06/1897,-14938.28,A. van Dedem,00293,,,,
66,J.H. Tromp Meesters,Steenwijk,16/06/1905,3047267.23,L.F. Duymaer van Twist,00354,,,14.929755756780546,
67,A. Vogelsang,Ridderkerk,30/11/1848,10000.0,W. Wijnaendts,01582,01582,152344.32,9.210340371976184,11.933898501145821
68,L. Kluit,Ridderkerk,30/11/1848,,W. Wijnaendts,01582,01582,152344.32,,11.933898501145821
69,P.J. de Raadt van Hendrik-Ido-Ambacht,Ridderkerk,30/11/1848,350170.0,W. Wijnaendts,01582,01582,152344.32,12.76617402983031,11.933898501145821
70,A. Vogelsang,Ridderkerk,09/12/1848,10000.0,W. Wijnaendts,01582,01582,152344.32,9.210340371976184,11.933898501145821
71,mr. W. Woldringh,Winschoten,18/07/1864,124707.09,W.J.A. Jonckbloet,00646,,,11.733722986507354,
72,jhr.mr. O.Q. van Swinderen,Winschoten,01/09/1887,7201.0,H. Goeman Borgesius,00469,00469,237166.64,8.881975184248867,12.376518295405418
73,jhr.mr. O.Q. van Swinderen,Winschoten,01/09/1887,7201.0,H.L. Drucker,00348,00348,3013169.65,8.881975184248867,14.918503122534617
74,J. Binkes,Sneek,08/06/1875,52747.98,A. Moens,00931,00931,1750.0,10.873280756766222,7.4673710669175595
75,K. Kater,Sneek,01/09/1887,574.25,A. Buma,00239,,,6.353064841569208,
76,K. Kater,Sneek,01/09/1887,574.25,B.H. Heldt,00553,00553,942.0,6.353064841569208,6.848005274576363
77,mr. B.J. Gratama,Dokkum,08/06/1875,137220.48,W.A. Bergsma,00102,00102,63082.0,11.82934425427112,11.052190746344808
78,mr. B.J. Gratama,Dokkum,14/06/1881,137220.48,I.F. van Humalda van Eysinga,00618,00618,724670.74,11.82934425427112,13.493472678954545
79,mr. J.C. Bijsterbos,Zwolle,08/06/1852,44527.82,G. Groen van Prinsterer,00485,,,10.703869441357215,
80,S.A. van Hoogstraten,Almelo,13/06/1854,15000.0,M.J. de Man,00872,,,9.615805480084347,
81,mr. E.J.I. van Sonsbeeck,Almelo,06/05/1884,6491.81,A. van Laer,00776,00776,163189.74,8.778296661416306,12.002668851888831
82,mr. E.J.I. van Sonsbeeck,Almelo,20/05/1884,6491.81,A. van Laer,00776,00776,163189.74,8.778296661416306,12.002668851888831
83,mr. J.F. Pringle,Arnhem,14/06/1864,0.0,W. van Lynden,00855,,,-inf,
84,jhr. B. van Merlen,Tiel,08/06/1858,24020.65,J.M. de Kempenaer,00681,,,10.086669156050519,
85,S.A. van Hoogstraten,Amersfoort,10/06/1856,15000.0,A.W. Engelen,00382,00382,30833.01,9.615805480084347,10.336341148290936
86,G. van Leeuwen,Alkmaar,30/11/1848,20000.0,S.A. de Moraaz,00943,,,9.903487552536127,
87,C. Bloem,Hoorn,13/10/1874,1500.0,I.D. Fransen van de Putte,00421,,,7.313220387090301,
88,C. Bloem,Hoorn,27/10/1874,1500.0,I.D. Fransen van de Putte,00421,,,7.313220387090301,
89,J.D. van Herwerden,Alkmaar,12/06/1866,101860.72,N. Olivier,01000,,,11.531361668939041,
90,H.G. Jansen,Haarlem,30/10/1866,42292.42,G.L.J. van der Hucht,00614,,,10.652363152759314,
91,H.G. Jansen,Haarlem,30/10/1866,42292.42,J.H. Geertsema,00437,00437,59189.94,10.652363152759314,10.988506873999514
92,H.G. Jansen,Haarlem,13/11/1866,42292.42,J.H. Geertsema,00437,00437,59189.94,10.652363152759314,10.988506873999514
93,H.G. Jansen,Haarlem,13/11/1866,42292.42,G.L.J. van der Hucht,00614,,,10.652363152759314,
94,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23708.04,M.H. Godefroi,00464,,,10.073569510100501,
95,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23708.04,S.R. van Franck,00419,,,10.073569510100501,
96,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23708.04,H. Stolte,01312,,,10.073569510100501,
97,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23708.04,J. Bosscha,00183,,,10.073569510100501,
98,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,23708.04,J.C. Baud,00067,,,10.073569510100501,
99,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,23708.04,S.R. van Franck,00419,,,10.073569510100501,
100,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,23708.04,J. Bosscha,00183,,,10.073569510100501,
101,jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,23708.04,J.C. Baud,00067,,,10.073569510100501,
102,dr. A. Vrolik,Amsterdam,20/03/1860,477922.42,J.G. Rijnders,01100,,,13.07720369704609,
103,J.D. van Herwerden,Amsterdam,10/06/1862,101860.72,G.C.J. van Reenen,01092,01092,587570.13,11.531361668939041,13.28375088808916
104,J.D. van Herwerden,Amsterdam,10/06/1862,101860.72,M.H. Godefroi,00464,,,11.531361668939041,
105,J.D. van Herwerden,Amsterdam,10/06/1862,101860.72,J. Heemskerk Bzn.,00538,00538,1948.0,11.531361668939041,7.5745584842024805
106,mr. J. Wertheim,Amsterdam,22/01/1868,-3564.84,G.C.J. van Reenen,01092,01092,587570.13,,13.28375088808916
107,mr. J. Wertheim,Amsterdam,22/01/1868,-3564.84,H.A. Insinger,00628,,,,
108,mr. J. Wertheim,Amsterdam,22/01/1868,-3564.84,J.J. Rochussen,01116,,,,
109,mr. J. Wertheim,Amsterdam,22/01/1868,-3564.84,M.J. Pijnappel,01068,01068,1927298.96,,14.471630078071993
110,mr. J. Wertheim,Amsterdam,22/01/1868,-3564.84,M.H. Godefroi,00464,,,,
111,mr. J. Wertheim,Amsterdam,22/01/1868,-3564.84,P.P. van Bosse,00184,00184,178984.54,,12.095054712377816
112,dr. J. Bosscha jr.,Amsterdam,12/10/1869,,E.H. s' Jacob,00631,00631,665450.23,,13.408219128145419
113,mr. M.J. van Lennep,Amsterdam,26/02/1878,409734.41,G. van Tienhoven,01365,01365,381103.35,12.923264448292255,12.850825877167058
114,mr. J.H. van der Sande,Leiden,27/08/1850,1000.0,D.T. Gevers van Endegeest,00456,00456,1026960.73,6.907755278982137,13.84211425059442
115,mr. J.H. van der Sande,Leiden,27/08/1850,1000.0,P.H. van Taets van Amerongen,01337,,,6.907755278982137,
116,dr. P. Bleeker,Leiden,10/06/1862,0.0,P.H. van Taets van Amerongen,01337,,,-inf,
117,jhr.mr. H. van Alphen,Leiden,30/10/1866,0.0,O. van Wassenaer van Catwijck,01509,01509,465286.54,-inf,13.05040870984072
118,jhr.mr. H. van Alphen,Leiden,30/10/1866,0.0,P.H. van Taets van Amerongen,01337,,,-inf,
119,jhr.mr. H. van Alphen,Leiden,22/01/1868,0.0,O. van Wassenaer van Catwijck,01509,01509,465286.54,-inf,13.05040870984072
120,jhr.mr. H. van Alphen,Leiden,22/01/1868,0.0,P.H. van Taets van Amerongen,01337,,,-inf,
121,W.J.F. Nuyens,Leiden,18/03/1873,1162.52,H.A. Neeb,00974,,,7.0583453416145945,
122,dr. J. Bosscha jr.,Gouda,08/06/1869,,W.M. de Brauw,00201,,,,
123,mr. J. Fortuijn Droogleever,Gouda,15/06/1886,42472.22,K.A. Godin de Beaufort,00465,,,10.65660549413331,
124,mr. J. Fortuijn Droogleever,Gouda,15/06/1886,42472.22,U.H. Huber,00612,00612,192459.58,10.65660549413331,12.16764143663637
125,mr. J. Fortuijn Droogleever,Gouda,01/09/1887,42472.22,K.A. Godin de Beaufort,00465,,,10.65660549413331,
126,mr. J. Fortuijn Droogleever,Gouda,01/09/1887,42472.22,U.H. Huber,00612,00612,192459.58,10.65660549413331,12.16764143663637
127,mr. R.J.C. Metelerkamp,Delft,08/06/1869,12880.46,J.L. Nierstrasz,00968,00968,10900.76,9.46346671330632,9.296587790557219
128,mr. A.E.J. Modderman,Delft,12/06/1883,271386.1,A.H.M. van Berckel,00089,00089,41260.15,12.511297809153861,10.627652422100942
129,mr. A.E.J. Modderman,Delft,26/06/1883,271386.1,A.H.M. van Berckel,00089,00089,41260.15,12.511297809153861,10.627652422100942
130,mr. D.C.A. graaf van Hogendorp,Rotterdam,22/01/1868,112653.58,I.D. Fransen van de Putte,00421,,,11.632072725204512,
131,mr. D.C.A. graaf van Hogendorp,Rotterdam,22/01/1868,112653.58,W.A. Viruly Verbrugge,01437,01437,564769.07,11.632072725204512,13.24417220091376
132,mr. D.C.A. graaf van Hogendorp,Rotterdam,22/01/1868,112653.58,F.W.C. Blom,00130,00130,149670.0,11.632072725204512,11.916188149523192
133,M.L. van Deventer,Rotterdam,24/08/1880,417.56,O. van Rees,01093,01093,454809.63,6.034428246540098,13.02763421477683
134,M.L. van Deventer,Rotterdam,07/09/1880,417.56,O. van Rees,01093,01093,454809.63,6.034428246540098,13.02763421477683
135,M.L. van Deventer,Rotterdam,12/02/1884,417.56,H.C. Verniers van der Loeff,01424,01424,234413.34,6.034428246540098,12.364841246328409
136,R.F. baron van Raders,Den Haag,23/05/1854,10000.0,I.P. Delprat,00301,00301,264187.29,9.210340371976184,12.484413562418837
137,jhr.mr. J.K.J. de Jonge,Den Haag,10/06/1873,335043.96,R.J. graaf van Schimmelpenninck,01202,01202,52516.85,12.722017026078701,10.86888934946647
138,jhr. G.J.G. Klerck,Den Haag,12/06/1883,221790.82,W. Wintgens,01557,01557,628560.775,12.309489964403458,13.351188000825907
139,A. Vogelsang,Dordrecht,27/08/1850,10000.0,J.S. Lotsy,00844,,,9.210340371976184,
140,A. Vogelsang,Dordrecht,27/08/1850,10000.0,P. Blussé van Oud-Alblas,00138,00138,256112.74,9.210340371976184,12.453373017143209
141,A. Vogelsang,Dordrecht,22/06/1852,10000.0,G.A. de Raadt,01074,01074,685978.4,9.210340371976184,13.438601419331833
142,A. Vogelsang,Dordrecht,10/06/1856,10000.0,J.D. van der Poel,01041,,,9.210340371976184,
143,G.A. Loeff,Dordrecht,22/04/1879,239838.59,J.B. van Osenbruggen,01006,,,12.387721434399865,
144,G.A. Loeff,Dordrecht,06/05/1879,239838.59,J.B. van Osenbruggen,01006,,,12.387721434399865,
145,I. Esser,Dordrecht,14/06/1881,8512.66,G.M. van der Linden,00828,00828,276159.77,9.049309746169527,12.528734854026332
146,jhr. B. van Merlen,Gorinchem,25/01/1859,24020.65,G. Groen van Prinsterer,00485,,,10.086669156050519,
147,jhr. G.J.G. Klerck,Gorinchem,10/06/1879,221790.82,L.W.C. Keuchenius,00691,00691,-8049.76,12.309489964403458,
148,A. Wiersinga,Steenwijk,10/04/1894,7620.5,G.J.T. Beelaerts van Blokland,00076,00076,286116.44,8.938597263325905,12.564154139813025
149,B. Berends,Meppel,09/06/1891,85138.85,H. Smeenge,01269,,,11.352038732126251,
150,mr. R.E. Hattink,Enschede,10/04/1894,123276.72,A.F. Vos de Wael,01483,01483,212190.04,11.722186863540113,12.265237567208425
151,mr. R.E. Hattink,Enschede,24/04/1894,123276.72,A.F. Vos de Wael,01483,01483,212190.04,11.722186863540113,12.265237567208425
152,jhr.mr. J.G. ridder van Rappard,Lochem,06/03/1888,550000.0,A. van Schimmelpenninck van der Oye,01205,,,13.217673557208654,
153,jhr.mr. J.G. ridder van Rappard,Lochem,30/10/1888,550000.0,C.M. Brantsen,00197,00197,690374.0,13.217673557208654,13.444988758714299
154,mr. J.F. Bijleveld,Arnhem,10/04/1894,324737.86,P. Rink,01113,01113,220457.0,12.690773551232098,12.303457943513985
155,jhr.mr. J.G. ridder van Rappard,Elst,06/03/1888,550000.0,B.M. Bahlmann,00057,,,13.217673557208654,
156,A.D. Sipman,Elst,09/06/1891,13922.27,G.W. van Dedem,00294,00294,80230.25,9.541244995305819,11.292655904784228
157,E.D. de Meester,Elst,10/04/1894,91573.89,W.H.J.T. van Basten van Batenburg,00065,,,11.424901466361431,
158,E.D. de Meester,Elst,12/06/1894,91573.89,W.H.J.T. van Basten van Batenburg,00065,,,11.424901466361431,
159,E.D. de Meester,Elst,26/06/1894,91573.89,W.H.J.T. van Basten van Batenburg,00065,,,11.424901466361431,
160,jhr.mr. G.W. Mollerus,Apeldoorn,10/04/1894,101398.46,W.K.F.P. graaf van Bylandt,00245,,,11.526813182647164,
161,jhr.mr. G.W. Mollerus,Apeldoorn,24/04/1894,101398.46,W.K.F.P. graaf van Bylandt,00245,,,11.526813182647164,
162,D.C. Loman,Den Helder,06/03/1888,27504.35,S.T. Land,00781,00781,-14905.35,10.22209945296342,
163,J.J. Kraakman,Den Helder,30/10/1894,9906.75,A.P. Staalman,01293,,,9.200971621972082,
164,H. van Calcar,Den Helder,30/10/1894,30482.17,A.P. Staalman,01293,,,10.324897201492115,
165,J.J. Stooker,Den Helder,30/10/1894,105489.13,A.P. Staalman,01293,,,11.56636319341462,
166,J.J. Kraakman,Den Helder,13/11/1894,9906.75,A.P. Staalman,01293,,,9.200971621972082,
167,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,J.T. Cremer,00279,,,12.779941375983695,
168,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,J.G. Gleichman,00462,00462,663355.45,12.779941375983695,13.405066249185285
169,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,A. Gildemeester,00458,00458,104918.0,12.779941375983695,11.56093437165654
170,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,A. Kerdijk,00682,,,12.779941375983695,
171,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,J.P.R. Tak van Poortvliet,01339,01339,1515387.13,12.779941375983695,14.231181495636166
172,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,A.F.K. Hartogh,00525,00525,299479.575,12.779941375983695,12.609801497217129
173,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,B.H. Heldt,00553,00553,942.0,12.779941375983695,6.848005274576363
174,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,J.W.H. Rutgers van Rozenburg,01148,01148,932582.27,12.779941375983695,13.745712651809566
175,dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,355024.25,J.D. Veegens,01391,01391,46534.3,12.779941375983695,10.747944954065499
176,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,B.H. Heldt,00553,00553,942.0,-inf,6.848005274576363
